序号,一级意图,二级意图,经验知识,商品品类,问题,标准答案
140,商品咨询与推荐,适用场景匹配,,免砸砖,免砸砖可以刷墙面吗？,亲亲，免砸砖只能用于瓷砖地面，不建议用于墙面，因为瓷砖墙面施工容易发生流挂，影响成膜效果。它主要适用于光照不强的室内瓷砖地面，如厨房、卫生间地砖。如果需要做瓷砖墙面防水可以使用外墙透明防水材料。商品链接是：https://detail.tmall.com/item.htm?id=608673984488&skuId=4280914353850
141,商品咨询与推荐,适用场景匹配,,免砸砖,免砸砖防水修复能用在刷了乳胶漆的墙面上吗？,亲亲，目前没有适用于乳胶漆上面的防水涂料呢~线上的都是基层防水和瓷砖防水的哦
142,商品咨询与推荐,适用场景匹配,,免砸砖,免砸砖是否可刷大理石上面？,亲亲您好，普通款免砸砖透明防水，聚脲免砸砖和单组分免砸砖均不推荐用于大理石表面。
143,商品咨询与推荐,商品对比,,免钉粘接,免钉胶和玻璃胶有什么区别？,亲亲您好，两者区别：1.免钉胶主要用于粘接固定，粘结力可达290KG/10cm²，适合踢脚线、置物架等需要牢固粘接的场景；2.玻璃胶主要用于密封填缝，粘接力相对较弱，更适合门窗、卫浴等位置的密封。
144,商品咨询与推荐,商品属性咨询,,免钉粘接,免钉胶能粘哪些东西？哪些材质？,亲亲您好，免钉胶适用于五金挂件、玻璃镜子、亚克力板、瓷砖、家具、家装材料等粘结，常用于挂件、置物架、踢脚线、门套、线条、装饰板的固定。
145,商品咨询与推荐,商品属性咨询,,免钉粘接,免钉胶开封后，用不完，放多久会干呀？,亲亲，免钉胶开封后建议一次性使用完毕，未使用完的需要密封保存，如果重新使用已经固化则无法使用~
146,商品咨询与推荐,商品属性咨询,,免钉粘接,免钉胶的承重是多少？,亲亲您好，免钉胶具有防水防潮特性，粘接牢固，粘结力可达290KG/10cm²，非常适合门档、挂钩等五金件的墙面固定。
147,商品咨询与推荐,商品用量咨询,免钉胶100g规格约可施工4-5米长度，用量计算需根据实际施工长度估算,免钉粘接,免钉胶的用量怎么算？,亲亲您好，免钉胶用量计算方法：测量需要粘接的总长度，除以单支施工长度，得出所需支数。100g免钉胶大概可以施工2m左右，施工时不需要挤满整条，采用点状或S形涂胶即可，既节省用量又能保证粘接效果。建议适当预留冗余，避免中途不够用。
148,商品咨询与推荐,商品使用方法,,免钉粘接,免钉胶怎么用啊？,亲亲，免钉胶使用步骤：1.清洁基面：先把墙面和粘贴物表面的灰尘、油污、水分清理干净，保持干燥。2.打胶：在物品背面点涂或条状打胶（中间多、边缘少即可）。3.按压定位：将物品贴到墙面，用力按压并调整位置，一般 10 秒内可以微调。4.静置固化：固定好后静置，轻物 10 秒即可初步固定，较重物品建议用胶带或支撑物辅助 24 小时。5.完全使用：完全固化后即可正常承重使用。这是免钉胶的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/r2zC16iD0XhkWoyZoiA2mrF9UGmwpQH-AU35e4R_XvU.mp4
149,商品咨询与推荐,商品使用方法,,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
怎么施工免钉胶？",亲亲，免钉胶使用步骤：1.清洁基面：先把墙面和粘贴物表面的灰尘、油污、水分清理干净，保持干燥。2.打胶：在物品背面点涂或条状打胶（中间多、边缘少即可）。3.按压定位：将物品贴到墙面，用力按压并调整位置，一般 10 秒内可以微调。4.静置固化：固定好后静置，轻物 10 秒即可初步固定，较重物品建议用胶带或支撑物辅助 24 小时。5.完全使用：完全固化后即可正常承重使用。这是免钉胶的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/r2zC16iD0XhkWoyZoiA2mrF9UGmwpQH-AU35e4R_XvU.mp4
150,商品咨询与推荐,商品效果预期,,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
免钉胶用了多久能撕掉铺助帖？",亲亲您好，一般贴好后静置约 24 小时，等免钉胶基本固化、物品稳固后，就可以撕掉辅助贴了。如果是较重物品或环境偏潮湿，建议适当延长到 36 小时左右，更稳妥。
151,商品咨询与推荐,商品效果预期,,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
免钉胶弄墙上会留痕迹吗？","亲亲，一般来说，是否留痕和墙面材质、拆除方式有关。
 在瓷砖、玻璃、不锈钢等光滑墙面上，按正确方法拆除，基本不留痕迹哦～"
152,商品咨询与推荐,适用场景匹配,,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
免钉胶可以粘木板吗？",亲亲，可以的，免钉胶适用于多种材质粘结，包括木板、铝合金、玻璃、瓷砖、亚克力、不锈钢等。使用前建议将粘贴面清理干净并保持干燥，粘贴后按压固定，静置 24 小时以上再承重，粘结效果会更稳固。
153,商品咨询与推荐,适用场景匹配,,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
免钉胶可以粘铝合金吗？",亲亲，可以的，免钉胶适用于多种材质粘结，包括木板、铝合金、玻璃、瓷砖、亚克力、不锈钢等。使用前建议将粘贴面清理干净并保持干燥，粘贴后按压固定，静置 24 小时以上再承重，粘结效果会更稳固。
154,商品咨询与推荐,商品选型,粘接木质踢脚线建议使用免钉胶而非玻璃胶，免钉胶粘接性能更好，承重能力强（约20斤），更适合需要牢固粘接的场景,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
粘木质踢脚线选哪种胶？",亲亲您好，粘接木质踢脚线建议使用免钉胶，粘接性能比玻璃胶更好。
155,商品咨询与推荐,商品选型,免钉胶适合粘接门档等五金件，具有防水防潮特性，承重能力约10KG，适用于墙面固定场景,免钉粘接,"https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901
墙面门档脱落用哪种胶？",亲亲您好，墙面门档脱落可以使用免钉胶进行粘接修复。免钉胶具有防水防潮特性，粘接牢固，粘结力可达290KG/10cm²，非常适合门档、挂钩等五金件的墙面固定。50g规格的免钉胶基本一支就够用。需要注意的是，如果是乳胶漆墙面，免钉胶承重时可能会把漆膜扯下来，建议在瓷砖或其他坚固表面使用效果更好。
156,商品咨询与推荐,商品使用方法,美缝剂施工后需要6-8小时干燥才能铲除废料，冬天干燥时间会更长,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
美缝剂施工多久后可以铲除多余的废料？",亲亲您好！美缝剂施工后大概需要6-12小时干燥才可以铲除废料。具体时间会受环境温度影响：1）常温环境（20-25℃）：通常6-12小时即可表面干燥；2）冬天低温环境：干燥时间会延长，可能需要12-24小时甚至更久；3）夏天高温环境：干燥速度会加快。建议您用手轻触美缝剂表面，如果不粘手且有一定硬度就可以开始清理了。过早铲除可能会破坏美缝效果，过晚铲除则会增加清理难度。
157,商品咨询与推荐,商品使用方法,,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
美缝剂用完需要多久不能碰水？",亲亲，施工完成后，前48小时内不要碰水，确保材料充分固化。这期间别拖地、别淋水，等它干透了再正常使用就行。
158,商品咨询与推荐,商品对比,,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
亮光柔光美缝剂有什么区别？",亲亲，亮光、柔光美缝剂主要区别在光泽度和视觉效果，性能上基本一致，选择时看瓷砖类型和整体风格即可：亮光美缝剂：表面光亮顺滑，反光感强，颜色更显亮，适合玻化砖、亮面砖、釉面砖等，能让空间更通透、显干净。柔光美缝剂：光泽柔和，反光较弱，看起来更自然不刺眼，适合柔光砖、木纹砖，整体风格偏温和、舒适。
159,商品咨询与推荐,商品效果预期,,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
美缝剂做完之后效果怎么样？",亲亲，美缝剂施工完成后，缝隙颜色均匀、有光泽，能明显提升瓷砖整体美观度，同时起到防水、防霉、防污的作用，整体效果比普通填缝更干净、整洁。
160,商品咨询与推荐,商品效果预期,,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
美缝剂时间久了会不会发黑或脱落？",亲亲，美缝剂正常使用不易发黑或脱落，本身具备耐黄变、持久锁色、防水抗渗、抗紫外线等性能哦。但施工时需保证缝隙干净、干燥，按规范施工，才能达到理想的使用效果和寿命。
161,商品咨询与推荐,商品属性咨询,美缝剂可用于浴室等潮湿环境，需选择防水防霉型产品，优氧聚脲美缝剂具有0级防霉、耐水抗渗、十年耐黄变特性,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
美缝剂可以用在浴室潮湿环境中吗？",亲亲您好！美缝剂可以用在浴室哦，特别适合卫生间、厨房这类潮湿环境使用。但建议选择专业的防水防霉型美缝剂以确保长期效果。我们更推荐优氧聚脲美缝剂，它具有0级防霉等级、耐水抗渗性能优异、十年耐黄变保证，在长期潮湿环境中使用更加安心可靠。普通美缝剂在高湿度环境下可能会出现发霉、变色等问题，而专业防水防霉型产品能有效避免这些风险。
162,商品咨询与推荐,商品属性咨询,天冬聚脲美缝剂采用纯聚脲材质，耐黄变性能强，10年不易发黄，0级防霉，长期使用稳定可靠,美缝剂,"https://detail.tmall.com/item.htm?id=738723114793&skuId=6026390578925
聚脲美缝剂长期使用会发黄吗？",亲亲您好，聚脲美缝剂采用纯聚脲材质，耐黄变性能非常强，10年不易发黄。同时具备0级防霉性能，防霉防水效果出色，用在瓷砖缝隙里非常耐用。相比普通美缝剂，聚脲材质的耐久性和稳定性更好，特别适合厨卫等潮湿区域使用。
163,商品咨询与推荐,商品属性咨询,美缝剂产品按支销售而非按组，用量计算时需明确单支的施工长度，避免购买数量理解偏差,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
瓷砖美缝剂是按支还是按组销售？",亲亲您好，瓷砖美缝剂是按组销售的，1组美缝剂包含AB组分，施工时使用搭配的混合螺旋胶嘴进行充分混合后施工。每组美缝剂的规格根据产品型号有所不同，常见规格如360g、400g、510g等。规格有少量区别，但每组美缝剂大约可以施工20-22米的缝隙长度。购买时请注意区分单组和套装的区别，根据您的施工面积和瓷砖规格计算所需支数，建议适当预留冗余量。
164,商品咨询与推荐,商品属性咨询,美缝剂购买数量达到一定支数可获赠施工工具，如5支送全套工具，10支额外加送美缝蜡，方便用户自行施工,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
购买美缝剂是否赠送施工工具？",您好，购买美缝剂达到一定数量可以获赠施工工具。一般5支起送全套施工工具，10支除了全套工具还会额外赠送美缝蜡。全套工具包含施工所需的基本用具，方便您自己动手进行美缝施工。建议根据实际用量需求选择合适的购买数量，既能满足施工需要，又能获得配套工具。温馨提示：若链接中标记【无工具款】因价格已十分优惠，故不参与赠品活动哦~[发送美缝工具图片]
165,商品咨询与推荐,商品用量咨询,,美缝剂,"https://detail.tmall.com/item.htm?id=653801641911
五支美缝剂能用多少平米？","亲亲，双管美缝1组施工标准2mm缝隙用量
注：1组美缝剂施工约22m左右（2mm标准缝隙）
👇【瓷砖参考施工面积】
150*75的瓷砖1组施工约18.6平方
120*60的瓷砖1组施工约13平方
80*80的瓷砖1组施工约14平方
40*80的瓷砖1组施工约10.5平方
60*60的瓷砖1组施工约10.5平方"
166,商品咨询与推荐,商品用量咨询,美缝剂用量需根据瓷砖缝隙长度计算，一支美缝剂约可施工20-22米缝隙，需根据实际面积和瓷砖规格估算总用量并预留冗余,美缝剂,美缝剂的用量如何计算？,亲亲您好，美缝剂的用量计算需要考虑瓷砖规格和缝隙长度。一支美缝剂大约可以施工20-22米左右的缝隙。计算时需要先根据瓷砖尺寸算出每平米的缝隙总长度，再乘以施工面积得出总米数。建议在计算基础上预留10-20%的冗余量，以应对施工损耗。不同品牌和规格的美缝剂施工长度可能略有差异，具体以产品说明为准。
167,商品咨询与推荐,商品选型,,美缝剂,哪种美缝剂好些啊？,亲亲，聚脲美缝剂，防水抗污、耐黄变，使用年限长，适合厨房、卫生间、阳台等；水性环氧美缝剂，环保性好，适合隐形缝隙；油性环氧或双管环氧彩砂价格更实惠，你可以根据实际需求选择哦。[发送美缝剂商品对比图]
168,商品咨询与推荐,商品选型,厨房和卫生间等潮湿区域应选择聚脲美缝剂，防水防霉性能更好，比普通美缝剂更耐用,美缝剂,潮湿区域应该选择什么类型的美缝剂？,您好，厨房和卫生间这类潮湿区域，建议选择聚脲美缝剂或环氧彩砂美缝剂。相比普通美缝剂，聚脲美缝剂具有更好的防水防霉性能，耐黄变，使用寿命更长。这类区域长期接触水汽，普通美缝剂容易发霉变色，而聚脲材质能有效抵抗霉菌滋生。客厅、卧室等干燥区域可以选择普通美缝剂，但厨卫建议升级使用聚脲系列。亲亲这是商品链接哦https://detail.tmall.com/item.htm?id=738723114793&skuId=6026390578925
169,商品咨询与推荐,适用场景匹配,,美缝剂,厨房里适合用美缝剂吗，防水吗？,亲亲您好，咱家美缝剂都可以用在厨房哦，特别适合卫生间、厨房这类潮湿环境使用。防水防霉的～
170,商品咨询与推荐,商品属性咨询,室外耐候结构胶具有抗紫外线、耐高低温（-40℃～130℃）、防霉防水的特性，适用于室外门窗、幕墙、阳光房等场景,结构胶,室外耐候结构胶有哪些特性？,亲亲您好，室外耐候结构胶专门针对户外环境设计，主要特性包括：1.抗紫外线，长期日晒不易老化变质；2.耐高低温，工作温度范围-40℃～130℃，适应各种气候；3.防霉防水，密封性好；4.高粘度强力粘结，不易开裂。适用场景包括室外门窗、幕墙、阳光房等位置的密封，可粘接玻璃、瓷砖、金属、混凝土等多种材料。室内普通密封可选择普通玻璃胶，室外建议使用耐候型。
171,商品咨询与推荐,适用场景匹配,,结构胶,结构胶可以用在木地板吗？,亲亲，结构胶可用于木地板。但是木地板有专用的地板胶，建议使用地板胶哦~地板胶商品链接：https://detail.tmall.com/item.htm?id=967454919626
172,商品咨询与推荐,商品对比,,结构胶,这几款结构胶有什么区别？,亲亲，如果您是室内大面积施工，比如瓷砖、石膏板铺贴，推荐室内结构胶，初始定位强、干得快，粘得非常牢；如果是室内外都要用，尤其是玻璃、幕墙或需要一定弹性的部位，建议选择硅酮结构胶，耐候性和抗开裂性能更好；如果是日常小面积安装或修补，像挂件、局部粘贴，免钉胶更方便省事，粘结稳定但不适合承重太大的场景。您可以根据使用位置和承重需求来选择。[发送结构胶商品对比图片]
173,商品咨询与推荐,商品使用方法,,结构胶,"https://detail.tmall.com/item.htm?id=942962616447
结构胶怎么用啊？要工具吗",亲亲，结构胶需要搭配对应的胶枪使用哦~下单对于规格有显示是否带工具，无工具的话需要单独拍下胶枪。这是结构胶胶枪使用的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/NqINOgdJasTKsUJf955Zjf5TEQDk9EJ9ImXtGL9ikKQ.mp4
174,商品咨询与推荐,商品选型,,结构胶,"https://detail.tmall.com/item.htm?id=942962616447
粘铝合金用哪款胶？",亲亲，结构胶哦～这是商品链接您看下哈~https://detail.tmall.com/item.htm?id=942962616447
247,商品咨询与推荐,商品效果预期,,结构胶,"https://detail.tmall.com/item.htm?id=942962616447
结构胶用了多久能干？",亲亲，结构胶一般约1小时即可初步固化，能达到不易移动的状态；但要达到完全固化和最佳强度，建议静置7天以上，期间避免受力或震动哦。
175,商品咨询与推荐,商品使用方法,地坪漆施工前需要用固沙剂或加固剂处理水泥基层，确保基层牢固不起沙，这是保证地坪漆附着力和耐久性的关键步骤,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
水泥地面涂刷地坪漆前需要做哪些基层处理？",亲亲您好，水泥地面涂刷地坪漆前需要先用固沙剂或加固剂处理基层。这一步非常重要，原因是：1.水泥地面容易起沙、掉粉，直接涂刷地坪漆会导致附着力差、容易脱落；2.固沙剂能渗透到水泥基层，固化松散颗粒，增强基面牢度；3.处理后的基层更平整，地坪漆涂刷效果更好、更耐久。建议施工前确保地面干燥、清洁，再进行固沙处理。这是水性地坪漆搭配固沙剂的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/caqJpqwqF0kd_BQ2bK7yGgmrg8Nmnui93623thcxYl0.mp4
176,商品咨询与推荐,商品使用方法,地坪漆施工需要兑水，兑水比例为10%清水（1公斤漆兑100毫升水），搅拌均匀后施工,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆施工要兑水吗，兑多少啊？",亲亲您好，地坪漆施工时需要兑水。兑水比例不超过10%清水，例如1公斤漆兑100毫升水，搅拌均匀后再进行施工。注意：固沙剂不需要加水，可以直接使用。兑水后的地坪漆流动性更好，涂刷更均匀，干燥后效果更佳。这是水性地坪漆的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/8QsBX6a-yEQnLt2nNrPKLai4ZIPx7MSj6ztc9T9yIPk.mp4[发送地坪漆施工注意事项图片]
177,商品咨询与推荐,商品使用方法,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆怎么用啊？","亲亲，地坪漆详细施工流程（建议看完）：
第一步：保持地面整洁干燥平整
第二步：涂刷固沙剂（加固剂）涂刷完12小时后再刷地坪漆，一般1遍即可
第三步：涂刷地坪漆，采用十字交叉法涂刷2遍，每遍间隔3-4小时
第四步：晾干，一般6小时左右可以走人，晾干4-5天可以过车，室内使用建议晾干48小时后入住·这是水性地坪漆的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/8QsBX6a-yEQnLt2nNrPKLai4ZIPx7MSj6ztc9T9yIPk.mp4[发送地坪漆施工注意事项图片]"
178,商品咨询与推荐,适用场景匹配,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆可以用在厕所吗？",亲亲，可以的。地坪漆可以用于厕所，适合室内外水泥基层地面，像厕所、洗衣房这类潮湿区域都能使用。施工时建议做好基层清洁和干燥，按要求涂刷并等完全固化后再使用，这样防水、耐磨效果会更好。
179,商品咨询与推荐,商品对比,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆和底漆区别是啥？",亲亲，底漆主要作用是封闭基层、增强附着力、防起砂起灰，让后面的漆更牢固；而地坪漆属于面层涂料，负责美观、耐磨、防滑、耐压和耐污。施工时一般是先刷底漆，再刷地坪漆，这样整体效果和使用寿命都会更好。
180,商品咨询与推荐,商品效果预期,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆用完多久干？",亲亲，这款地坪漆施工后约 1 小时即可表干，表面不粘手；一般6小时左右可以正常行走使用。为保证效果和强度，完全固化建议养护7天以上，漆膜达到最佳性能效果，期间避免重压、拖拽或遇水，实际干燥时间也会受温度、湿度和施工厚度影响。
181,商品咨询与推荐,商品选型,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
我要搭配固沙剂选哪个地坪漆链接啊？",亲亲，选择4平方米、20平方米的套餐是固沙剂搭配地坪漆，40平方米及以上的套餐是抗渗底漆搭配地坪漆，这款抗渗底漆性能相较固沙剂会更好哦~4平方套餐链接：https://detail.tmall.com/item.htm?id=752391830444&skuId=6149252302116
182,商品咨询与推荐,商品用量咨询,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆用多少怎么算？",亲亲，地坪漆理论用量为 1kg 可刷约 4–5㎡（2 遍），比如地面面积 20㎡，大约需要 20 ÷ 4 = 5kg 左右；如果地面较粗糙或吸漆性强，建议多预留 10%–20%，以免不够用哦。
183,商品咨询与推荐,商品属性咨询,水性地坪漆适用于楼道、厕所、洗衣房、露台等水泥地面，具有耐水防滑特性，但不具备防水功能，不适合室外长期淋雨环境,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
地坪漆可以用在哪些地方啊？",亲亲您好，水性地坪漆适合用在楼道、厕所、洗衣房、露台、晒台等水泥地面场景，具有耐水防滑、耐污易清洁的特点。但需要注意的是，这款产品耐水但不防水，淋浴区长期淋雨的地方不太适合使用。
184,商品咨询与推荐,商品用量咨询,,功能性乳胶漆,"https://detail.tmall.com/item.htm?id=752391830444&skuId=5583002616626
选多少地坪漆怎么算？",亲亲您好，地坪漆每 1kg 大约可以刷 4–5 平方米地面（涂刷两遍）。建议预留10%–20%余量，以应对地面吸漆量、施工损耗等情况。
185,商品咨询与推荐,商品使用方法,瓷砖空鼓剂施工前需要保持基面干净干燥，有水渍需要先清理干净再施工,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733&skuId=5595548391837
瓷砖空鼓剂施工前要做哪些准备工作？",亲亲您好，瓷砖空鼓剂施工前需要做好以下准备：1.清理瓷砖缝隙中的杂物和灰尘；2.如果有水渍需要先清理干净；3.保持施工区域干燥。干净干燥的基面能确保胶液更好地渗透和粘结，提高修复效果。如果卫生间等潮湿区域施工，建议先停用一段时间让地面干燥后再操作。
186,商品咨询与推荐,商品使用方法,,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733
瓷砖粘合剂弄到旁边了怎么办？",亲亲，如果施工时不小心弄到旁边的瓷砖上，要在胶体施用后约十五分钟内，赶紧用湿毛巾蘸热水擦掉，干了以后需要用铲刀铲掉。
187,商品咨询与推荐,商品使用方法,瓷砖破损修复需要空鼓剂和瓷砖修补膏配合使用，先用空鼓剂固定再用修补膏填补破损处,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733
厕所瓷砖破损碎裂应该如何修复？",亲亲您好，厕所瓷砖破损碎裂需要用瓷砖粘合剂+瓷砖修补膏配合修复。粘合剂用于将松动的瓷砖重新粘接固定，瓷砖修补膏用于填补破损的坑洞和裂缝。施工时建议保持干净干燥，干透后就可以正常使用了。
188,商品咨询与推荐,商品使用方法,瓷砖空鼓剂使用后需要用重物压住，确保胶液充分渗透粘接，提高修复效果,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733&skuId=5595548391837
使用瓷砖空鼓剂修复后需要注意什么？",亲亲您好，使用瓷砖空鼓剂修复后，需要用重物压住修复区域，这样可以确保胶液充分渗透到空鼓部位，增强粘接效果。如果胶液溢出到瓷砖表面，需要及时擦掉，避免干固后难以清理。建议压重物静置一段时间，让胶液完全固化后再正常使用。
189,商品咨询与推荐,商品对比,瓷砖空鼓剂适用于仍有粘接但出现空鼓的瓷砖，完全脱落的瓷砖需要使用粘合剂,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733
瓷砖空鼓剂和瓷砖粘合剂有什么区别？",亲亲您好！这是两种产品的差异哦您看看呢～[发送瓷砖空鼓剂和粘合剂商品对比图片]两种产品的适用场景不同：瓷砖空鼓剂专门用于处理瓷砖与基层之间出现空鼓、起翘但尚未完全脱落的情况，通过注射方式填充空隙重新粘合；而瓷砖粘合剂适用于瓷砖已经完全脱落需要重新粘贴的情况。使用前需要先判断瓷砖的具体状态：如果敲击有空鼓声但瓷砖还在墙上，选择空鼓剂；如果瓷砖已经掉落，则需要粘合剂。
190,商品咨询与推荐,商品属性咨询,瓷砖空鼓剂和瓷砖修补膏施工需要保持基面干燥，干透后可在潮湿环境正常使用,瓷砖修补,"https://detail.tmall.com/item.htm?id=662110937733&skuId=5595548391837
瓷砖空鼓剂防水吗？",亲亲您好，瓷砖空鼓剂施工时需要保持基面干净干燥，但干透后是可以在潮湿环境正常使用的。厕所经常用水没问题，只要施工时保持干燥，等产品完全固化后再使用卫生间即可。
191,商品咨询与推荐,商品属性咨询,,瓷砖修补,瓷砖修补膏拆封后，可以二次使用吗？拆封后有效期多少时间？,亲亲，瓷砖修补膏可以二次使用的，AB料混合后越快使用完越好哦，膏装的干的比较快哈
192,商品咨询与推荐,商品属性咨询,瓷砖空鼓剂使用需要满足缝隙宽度条件，缝隙小于2mm时针管无法插入，产品无法使用,瓷砖修补,瓷砖空鼓剂对瓷砖缝隙宽度有什么要求？,亲亲您好，瓷砖空鼓剂使用时需要通过针管将胶液注入瓷砖下方空鼓区域。如果瓷砖缝隙小于1.2mm，针管无法插入缝隙，产品将无法正常使用。建议使用前先测量缝隙宽度，确保缝隙≥1.2mm。如果缝隙过小，可以考虑到线下门店咨询其他解决方案哦～
193,商品咨询与推荐,商品用量咨询,,瓷砖修补,空鼓剂用量怎么计算？,亲亲，空鼓剂250ml大概可以施工0.36平方米，根据您瓷砖的情况来购买哦～
194,商品咨询与推荐,商品选型,,瓷砖修补,瓷砖有小裂缝、崩角，用哪款修补？,亲亲，细小裂缝、边角缺损，建议使用立邦瓷砖修补膏，可用于填补、修平表面，修补后颜色自然、不易脱落。这是商品链接，您看下哈https://detail.tmall.com/item.htm?id=685332914806&skuId=5482066502203
195,商品咨询与推荐,商品效果预期,,瓷砖修补,瓷砖修补膏修完后明显吗？,亲亲，瓷砖修补膏修复后可明显改善裂缝和缺角问题，颜色接近瓷砖本色，但无法做到完全无痕，适合功能性和美观性修补。
196,商品咨询与推荐,商品效果预期,,瓷砖修补,空鼓剂可以用在卫生间、厨房吗？,亲亲，瓷砖修补类产品耐水性较好，适合卫生间、厨房等室内区域，施工后需等待完全固化再接触水哦。
197,商品咨询与推荐,适用场景匹配,,瓷砖修补,地面瓷砖翘边可以用空鼓剂吗？,亲亲，瓷砖翘边可以用空鼓剂哦，施工之后，需要用重物压制2-3天的哈
198,商品咨询与推荐,适用场景匹配,,瓷砖修补,家里面几块瓷砖有点拱起来了，用这个瓷砖空鼓剂能行吗？,亲亲您好，瓷砖空鼓剂可以用于处理轻微空鼓、边角或局部起翘不严重的瓷砖，通过注入后填充空隙、增强粘结，一般可以起到加固效果。翘边情况建议注入空鼓剂后使用重物压平，待2-3天空鼓剂完全干燥后取下即可。
199,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,防霉密封胶怎么施工？,"亲亲，密封胶的施工您可以参考一下哦~
https://cloud.video.taobao.com/vod/ZFWZllFH_znFyiPqSsdTlGw_gxmmdbEQagp9c_vCwGk.mp4"
200,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,防霉密封胶弄到手上怎么清理？,亲亲，玻璃胶未干用酒精擦拭，干燥后可以先用温水浸泡软化胶体，然后涂抹食用油（或卸妆油）揉搓，最后用肥皂洗净，避免强行撕扯，以防伤皮肤；操作时建议戴手套防护
201,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,防霉密封胶怎么安装？可以用在哪些地方？,亲亲，这款玻璃胶干湿区通用的，水池台盆周围，煤气灶台周围，马桶底座和瓷砖交接处，浴缸和地面交接处，门窗套于墙体交接处，踢脚线等均可适用哦~施工视频您也可以参考一下：https://cloud.video.taobao.com/vod/ZFWZllFH_znFyiPqSsdTlGw_gxmmdbEQagp9c_vCwGk.mp4
202,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,防霉密封胶怎么用？需要胶枪吗？,亲亲，手挤150ml玻璃胶会配套赠送胶嘴，您开封安装胶嘴后可直接使用，大支玻璃胶需要搭配胶枪使用哦~大小支胶施工视频参考：https://cloud.video.taobao.com/vod/ZFWZllFH_znFyiPqSsdTlGw_gxmmdbEQagp9c_vCwGk.mp4
203,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶怎么用？有操作指南吗？","亲亲，密封胶的施工您可以参考一下哦~
https://cloud.video.taobao.com/vod/ZFWZllFH_znFyiPqSsdTlGw_gxmmdbEQagp9c_vCwGk.mp4"
204,商品咨询与推荐,商品使用方法,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶在使用前需要把旧胶去掉吗？",亲亲，在施工之前建议把之前的旧胶清除干净再施工密封胶哦~
205,商品咨询与推荐,商品使用方法,暴封胶支持带水施工，可用于已经漏水或正在漏水的位置进行密封防水,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
暴封胶可以在有水的情况下施工吗？",亲亲您好，暴封胶可以带水施工，这是它的一大特点。可以用于已经漏水或者正在漏水的位置进行密封防水，即时止漏。适用场景包括厨卫防水、门窗密封、水管堵漏、屋顶防水等。胶体透明，隐形修复，效果很不错。
